Year,Team,Index,PowerRank
2026,Illinois Chicago,126,2.36
2026,UAB,324,2.26
2026,Pacific,237,2.22
2026,Troy,321,2.17
2026,UC San Diego,328,2.15
2026,Penn State,239,2.15
2026,Bradley,30,2.02
2026,Western Kentucky,368,2.01
2026,Southern Illinois,289,1.99
2026,Hawaii,115,1.93
2026,North Dakota State,215,1.88
2026,Maryland,168,1.81
2026,William & Mary,371,1.79
2026,Duquesne,77,1.78
2026,St. Bonaventure,294,1.73
2026,Richmond,255,1.64
2026,Washington State,361,1.64
2026,Boston College,27,1.5
2026,Oakland,227,1.45
2026,UT Rio Grande Valley,343,1.4
2026,North Texas,217,1.28
2026,Middle Tennessee,181,1.24
2026,UCSB,329,1.16
2026,Portland State,243,0.95
2026,Wright State,377,0.8
2026,Robert Morris,257,0.69
2026,Fresno State,98,0.64
2026,Arkansas State,15,0.48
2026,Navy,198,0.47
2026,Toledo,319,0.42
2026,Charleston,48,0.39
2026,East Tennessee State,79,0.34
2026,Kennesaw State,140,0.34
2026,New Mexico State,205,0.27
2026,Kent State,141,0.21
2026,Valparaiso,352,0.18
2026,Fordham,97,0.13
2026,Eastern Washington,84,0.09
2026,Temple,307,0.08
2026,Massachusetts,170,-0.01
2026,Bowling Green,29,-0.04
2026,UC Davis,325,-0.12
2026,Oregon State,235,-0.17
2026,Cal State Northridge,40,-0.2
2026,Loyola Marymount,162,-0.2
2026,Mercer,173,-0.28
2026,Appalachian State,10,-0.29
2026,Monmouth,189,-0.54
2026,Charlotte,50,-0.55
2026,New Orleans,206,-0.58
2026,Harvard,114,-0.59
2026,Towson,320,-0.63
2026,Idaho,123,-0.64
2026,Marshall,167,-0.79
2026,Samford,269,-0.8
2026,Texas Arlington,342,-0.87
2026,Buffalo,34,-1.08
2026,South Alabama,279,-1.12
2026,Pennsylvania,238,-1.16
2026,Austin Peay,18,-1.19
2026,Cal State Fullerton,39,-1.28
2026,Northern Kentucky,223,-1.34
2026,Central Arkansas,45,-1.37
2026,Denver,72,-1.43
2026,Jacksonville State,136,-1.43
2026,Weber State,363,-1.5
2026,Utah Tech,348,-1.51
2026,Montana,190,-1.52
2026,Tennessee State,310,-1.62
2026,Missouri State,188,-1.71
2026,Campbell,42,-1.72
2026,Green Bay,111,-1.8
2026,Texas A&M Corpus Christi,314,-1.8
2026,LIU Brooklyn,143,-1.81
2026,Merrimack,176,-1.86
2026,Quinnipiac,251,-1.97
2026,Furman,99,-2.03
2026,Lipscomb,152,-2.11
2026,Coastal Carolina,57,-2.14
2026,Florida International,88,-2.16
2026,James Madison,137,-2.25
2026,Youngstown State,381,-2.29
2026,Colgate,58,-2.44
2026,Cornell,64,-2.49
2026,Tennessee-Martin,309,-2.49
2026,Drake,74,-2.5
2026,Siena,278,-2.53
2026,Eastern Michigan,83,-2.53
2026,Marist,165,-2.54
2026,Portland,242,-2.6
2026,Columbia,61,-2.61
2026,Indiana State,130,-2.71
2026,Elon,85,-2.86
2026,Drexel,75,-2.92
2026,UMBC,332,-3.0
2026,Stony Brook,302,-3.06
2026,Howard,121,-3.11
2026,La Salle,145,-3.18
2026,Southern Miss,292,-3.2
2026,St. Peter’s,267,-3.24
2026,Southeast Missouri State,286,-3.33
2026,Longwood,155,-3.41
2026,Iona,131,-3.43
2026,Tulane,322,-3.47
2026,Incarnate Word,128,-3.48
2026,San Diego,270,-3.5
2026,Vermont,354,-3.54
2026,Idaho State,124,-3.57
2026,Lamar,147,-3.58
2026,South Dakota State,283,-3.63
2026,Princeton,246,-3.71
2026,Rice,254,-3.71
2026,Louisiana Tech,158,-3.74
2026,Delaware,70,-3.8
2026,Tarleton State,305,-3.81
2026,Queens,250,-3.86
2026,North Carolina Asheville,335,-3.87
2026,Georgia Southern,105,-4.03
2026,Radford,252,-4.06
2026,Texas State,316,-4.1
2026,American,9,-4.13
2026,Cal Poly,37,-4.21
2026,Abilene Christian,1,-4.24
2026,Ohio,228,-4.27
2026,Charleston Southern,49,-4.3
2026,Detroit,73,-4.33
2026,Old Dominion,232,-4.34
2026,Purdue Fort Wayne,249,-4.36
2026,Nebraska Omaha,200,-4.66
2026,UTEP,344,-4.79
2026,San Jose State,273,-4.81
2026,Fairfield,89,-4.9
2026,South Carolina Upstate,340,-4.9
2026,Wofford,376,-4.98
2026,Boston University,28,-5.0
2026,East Carolina,78,-5.01
2026,Bethune-Cookman,24,-5.07
2026,Nicholls,208,-5.15
2026,Mercyhurst,174,-5.21
2026,Central Michigan,47,-5.24
2026,Wisconsin Milwaukee,182,-5.41
2026,SIU Edwardsville,259,-5.48
2026,Presbyterian,245,-5.51
2026,Loyola Chicago,160,-5.56
2026,Southern Utah,293,-5.62
2026,Pepperdine,240,-5.67
2026,Hampton,112,-5.71
2026,Western Carolina,366,-5.8
2026,Florida Gulf Coast,95,-5.8
2026,Long Beach State,154,-5.86
2026,Dartmouth,66,-5.9
2026,Georgia State,106,-5.91
2026,Northwestern State,225,-5.93
2026,Sacramento State,261,-5.96
2026,Northeastern,218,-5.97
2026,Western Michigan,369,-5.98
2026,Central Connecticut,46,-6.08
2026,Lehigh,149,-6.14
2026,North Carolina A&T,212,-6.26
2026,Southeastern Louisiana,287,-6.3
2026,UC Riverside,327,-6.42
2026,Lindenwood,151,-6.46
2026,Wagner,358,-6.54
2026,Chattanooga,51,-6.61
2026,Houston Christian,120,-6.62
2026,Mount St. Mary’s,194,-6.64
2026,Bellarmine,22,-6.64
2026,South Dakota,282,-6.68
2026,Southern,288,-6.84
2026,Morehead State,192,-6.88
2026,Sacred Heart,262,-7.02
2026,North Dakota,214,-7.06
2026,Oral Roberts,233,-7.19
2026,Le Moyne,148,-7.22
2026,Brown,31,-7.34
2026,East Texas A&M,80,-7.47
2026,Northern Arizona,219,-7.71
2026,Evansville,86,-7.9
2026,Alabama State,6,-7.97
2026,Eastern Kentucky,82,-8.16
2026,IU Indy,122,-8.19
2026,Ball State,20,-8.2
2026,West Georgia,364,-8.27
2026,Alabama A&M,5,-8.55
2026,New Haven,203,-8.73
2026,Jacksonville,135,-8.73
2026,Louisiana,156,-8.74
2026,Holy Cross,118,-8.78
2026,Tennessee Tech,311,-8.8
2026,Grambling State,109,-8.87
2026,Arkansas Little Rock,153,-8.97
2026,North Carolina Greensboro,336,-8.98
2026,Norfolk State,209,-9.05
2026,Loyola (MD),161,-9.15
2026,Prairie View A&M,244,-9.34
2026,Massachusetts Lowell,334,-9.35
2026,Eastern Illinois,81,-9.37
2026,Lafayette,146,-9.61
2026,Stonehill,301,-9.62
2026,Albany,7,-9.66
2026,Maryland Eastern Shore,169,-10.03
2026,NJIT,197,-10.06
2026,Arkansas Pine Bluff,14,-10.08
2026,Stetson,300,-10.18
2026,Bucknell,33,-10.43
2026,Florida A&M,92,-10.53
2026,Cleveland State,56,-10.6
2026,Farleigh Dickinson,90,-10.64
2026,CSU Bakersfield,38,-10.67
2026,Northern Illinois,221,-10.81
2026,North Alabama,210,-10.86
2026,Manhattan,164,-10.89
2026,Chicago State,52,-10.99
2026,Bryant,32,-11.08
2026,New Hampshire,202,-11.11
2026,Maine,163,-11.24
2026,Army,16,-11.27
2026,Southern Indiana,291,-11.41
2026,Texas Southern,315,-11.66
2026,UTSA,345,-11.98
2026,Niagara,207,-12.0
2026,Canisius,43,-12.48
2026,Louisiana Monroe,157,-12.58
2026,North Carolina Central,213,-12.9
2026,Air Force,2,-13.09
2026,North Florida,216,-13.34
2026,Citadel,318,-13.55
2026,Morgan State,193,-13.96
2026,St. Francis (PA),263,-13.98
2026,Missouri Kansas City,333,-14.15
2026,Alcorn State,8,-14.2
2026,Binghamton,25,-14.57
2026,Rider,256,-15.07
2026,Delaware State,71,-15.33
2026,Virginia Military,351,-15.66
2026,Jackson State,134,-15.9
2026,Western Illinois,367,-16.23
2026,South Carolina State,281,-16.57
2026,Gardner-Webb,100,-17.09
2026,Coppin State,63,-19.2
2026,Mississippi Valley State,186,-21.37
