Year,Team,Index,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank
2008,Western Kentucky,368,43,14.6,111.9,48,97.3,62,68.2,69,-0.021,219,-0.85,172,103.3,176,104.2,174,1.69,100
2008,Oklahoma,230,44,14.47,109.5,74,95.1,37,63.1,256,0.077,23,9.45,18,108.3,30,98.9,15,-0.55,161
2008,Saint Joseph's,264,45,14.32,115.1,25,100.8,110,64.0,216,-0.069,318,5.81,73,106.9,63,101.1,78,1.34,114
2008,Villanova,355,46,14.21,109.2,75,95.0,35,68.1,74,0.037,84,9.14,25,108.9,15,99.8,38,-2.4,222
2008,Syracuse,303,47,14.12,112.6,43,98.4,75,69.9,27,-0.026,238,7.96,41,107.8,43,99.9,44,2.25,90
2008,UNLV,338,48,13.71,110.2,67,96.5,51,63.9,223,0.081,21,3.1,108,104.3,131,101.2,81,-0.86,171
2008,Arizona St.,12,49,13.62,110.2,66,96.6,53,61.2,305,0.01,150,6.79,56,107.4,54,100.6,64,-9.79,333
2008,Mississippi,184,50,13.49,114.2,32,100.7,108,69.3,40,0.01,146,5.66,78,106.7,69,101.0,76,-2.47,225
2008,Illinois,125,51,13.47,107.5,111,94.0,29,61.0,310,-0.119,341,9.61,12,108.4,27,98.8,13,3.4,70
2008,Massachusetts,170,52,13.1,110.5,63,97.3,65,74.6,3,0.005,156,5.26,83,107.3,57,102.0,108,0.21,141
2008,Georgia Tech,107,53,13.1,114.5,31,101.4,125,68.6,54,-0.077,325,11.47,2,109.5,3,98.0,4,6.56,30
2008,Missouri,187,54,13.04,113.3,38,100.2,98,69.3,39,-0.105,338,8.57,33,107.1,59,98.6,10,-0.9,173
2008,Kent St.,141,55,13.04,107.8,105,94.8,34,65.1,171,0.075,26,1.03,140,103.5,166,102.5,127,-0.11,151
2008,Vanderbilt,353,56,12.65,112.3,47,99.6,88,68.2,67,0.11,5,5.2,86,107.4,49,102.2,118,-1.7,198
2008,Temple,307,57,12.37,112.8,41,100.4,102,63.6,233,-0.018,213,6.08,70,107.4,53,101.3,85,3.73,64
2008,Illinois St.,127,58,12.37,106.2,129,93.9,27,62.5,279,0.043,68,4.12,93,106.5,77,102.4,123,-1.52,189
2008,Florida St.,96,59,12.26,108.7,83,96.4,50,64.8,181,-0.035,258,8.51,34,108.4,26,99.9,47,-1.4,183
2008,Dayton,68,60,12.08,111.8,51,99.7,91,61.6,296,0.055,48,5.31,81,106.5,76,101.2,83,-0.78,168
2008,UAB,324,61,12.07,110.7,57,98.6,77,66.8,110,0.017,127,2.74,111,104.3,126,101.6,93,-1.59,195
2008,Southern Illinois,289,62,12.04,105.7,138,93.7,25,61.1,307,-0.033,254,7.38,50,107.4,56,100.0,48,8.06,15
2008,Maryland,168,63,11.99,107.1,116,95.1,38,69.9,26,-0.044,279,7.39,49,106.6,74,99.2,22,-2.75,239
2008,Utah,346,64,11.94,110.2,64,98.3,71,62.9,266,-0.111,340,5.24,84,106.0,90,100.8,68,2.23,92
2008,South Alabama,279,65,11.8,112.6,42,100.8,111,64.8,178,-0.002,174,-2.07,194,103.1,182,105.2,219,0.9,121
2008,IUPUI,122,66,11.68,116.5,11,104.8,192,60.9,312,-0.019,218,-3.0,220,102.9,191,105.9,253,-1.34,181
2008,California,41,67,11.51,115.8,18,104.3,184,67.8,82,-0.013,200,10.85,4,109.2,7,98.4,7,-2.47,226
2008,VCU,350,68,11.45,104.7,157,93.2,22,63.6,237,-0.041,270,-1.67,189,102.4,208,104.0,168,2.99,77
2008,Washington,360,69,11.36,109.7,72,98.4,74,68.6,59,-0.07,320,9.1,26,108.7,17,99.6,33,-1.56,191
2008,Minnesota,183,70,11.34,108.4,89,97.1,60,65.1,169,-0.025,233,5.28,82,105.5,99,100.2,55,-6.47,308
2008,Houston,119,71,11.28,114.2,33,102.9,155,69.1,42,-0.044,281,-0.9,174,102.2,211,103.1,148,-8.84,325
2008,Rhode Island,253,72,11.2,115.1,24,103.9,177,69.6,34,-0.059,303,3.5,99,105.7,94,102.2,116,-1.83,201
2008,Wake Forest,359,73,10.82,107.7,106,96.9,58,68.8,46,-0.016,208,6.85,55,106.2,84,99.3,28,-4.68,280
2008,Creighton,65,74,10.8,108.7,85,97.9,68,65.5,156,0.049,58,5.22,85,106.1,88,100.8,72,-2.82,242
2008,Oklahoma St.,231,75,10.78,109.1,77,98.4,73,64.2,204,-0.03,249,9.94,10,108.6,21,98.6,12,-0.76,167
2008,Akron,3,76,10.48,110.9,56,100.4,101,62.8,269,-0.009,193,0.39,148,103.0,188,102.6,131,-4.22,275
2008,Oral Roberts,233,77,10.27,104.7,153,94.5,31,63.6,236,0.032,95,-0.01,156,105.4,103,105.4,228,8.75,11
2008,Kentucky,142,78,10.01,107.8,104,97.8,67,62.4,282,0.01,147,6.74,57,107.4,50,100.7,67,-3.13,249
2008,Duquesne,77,79,9.97,108.9,80,99.0,83,73.4,5,-0.086,332,1.74,124,105.0,110,103.2,152,-3.0,243
2008,George Mason,101,80,9.68,110.7,58,101.0,117,61.6,300,-0.01,196,-0.57,166,102.6,203,103.2,150,2.28,89
2008,Miami OH,178,81,9.63,108.4,90,98.7,79,58.0,335,-0.038,266,6.42,60,106.4,79,100.0,50,13.46,2
2008,Tulsa,323,82,9.63,106.2,131,96.6,52,64.6,191,0.019,124,1.24,134,104.2,137,103.0,145,-8.17,321
2008,Texas Tech,317,83,9.6,107.7,108,98.1,69,67.6,89,0.014,134,9.4,19,108.5,23,99.1,19,0.33,136
2008,Charlotte,50,84,9.53,104.6,160,95.1,36,66.8,111,-0.006,185,5.77,74,107.1,60,101.4,86,2.45,83
2008,Providence,247,85,9.4,110.1,68,100.8,109,66.3,131,-0.025,232,9.2,23,109.1,10,99.9,46,0.87,123
2008,Alabama,4,86,9.2,110.9,55,101.7,130,66.7,114,-0.055,296,5.7,75,107.2,58,101.5,91,-2.55,228
2008,Bradley,30,87,9.05,111.8,50,102.7,152,68.5,60,-0.022,221,5.32,80,105.6,98,100.3,56,0.54,131
2008,Cal St. Fullerton,39,88,8.47,112.3,45,103.9,176,71.6,12,-0.01,195,-3.95,236,101.5,243,105.5,230,-3.01,244
2008,Missouri St.,188,89,8.39,108.2,95,99.8,92,65.1,173,-0.063,311,4.86,90,105.8,92,100.9,73,1.6,104
2008,Virginia,356,90,8.11,110.5,61,102.4,145,68.4,63,-0.024,230,6.21,67,106.8,67,100.6,63,-6.23,304
2008,Georgia,104,91,8.08,104.3,166,96.2,45,64.7,183,-0.032,253,7.55,47,108.5,22,101.0,75,-4.1,274
2008,San Diego St.,271,92,7.99,104.9,147,96.9,57,64.1,211,-0.006,188,3.21,106,104.5,120,101.2,84,-1.49,188
2008,Siena,278,93,7.99,108.6,86,100.7,107,67.6,86,0.036,87,-1.41,186,104.1,144,105.5,232,3.69,65
2008,Western Michigan,369,94,7.92,108.1,100,100.2,97,63.8,226,-0.023,224,0.6,146,103.7,158,103.1,149,3.78,63
2008,Ohio,228,95,7.55,109.7,73,102.1,139,63.2,255,0.019,119,2.4,114,104.3,134,101.9,101,3.06,75
2008,Stephen F. Austin,299,96,7.53,107.6,109,100.1,96,57.6,337,0.029,100,-5.9,280,98.6,319,104.5,194,-4.99,289
2008,UCF,330,97,7.11,109.1,78,102.0,137,64.1,208,-0.106,339,1.2,135,103.8,156,102.6,132,-0.15,152
2008,Southern Miss,292,98,6.98,108.3,91,101.3,123,63.3,249,-0.03,248,3.04,109,105.1,107,102.1,110,-1.58,194
2008,UNC Greensboro,336,99,6.96,108.1,98,101.2,120,64.6,189,0.014,132,0.04,155,104.1,141,104.1,169,3.59,67
2008,New Mexico St.,205,100,6.85,108.1,97,101.3,122,69.7,32,-0.06,304,-2.2,196,103.5,167,105.7,240,4.0,58
2008,Nevada,201,101,6.59,108.5,88,101.9,133,67.2,97,0.013,136,0.09,153,104.8,113,104.7,198,5.58,36
2008,Cincinnati,54,102,6.58,104.8,152,98.2,70,63.5,241,-0.006,186,9.65,11,109.0,13,99.3,27,1.57,105
2008,Cleveland St.,56,103,6.58,103.3,177,96.7,55,64.7,182,0.035,88,3.23,105,105.5,100,102.3,119,3.54,68
2008,Winthrop,373,104,6.38,99.5,232,93.1,20,61.6,298,-0.0,167,-1.01,175,105.1,106,106.1,267,7.81,19
2008,Boston College,27,105,6.37,108.9,81,102.6,149,64.2,203,-0.015,204,7.87,42,107.9,42,100.0,51,-4.02,273
2008,South Carolina,280,106,6.1,109.1,79,103.0,157,64.7,184,-0.086,331,6.41,63,108.0,37,101.6,92,-2.69,233
2008,Seton Hall,277,107,6.0,110.5,62,104.5,189,69.2,41,0.04,76,5.69,76,106.5,78,100.8,69,-5.3,293
2008,UTEP,344,108,5.74,106.7,123,100.9,115,70.9,16,-0.013,201,1.46,130,103.6,160,102.2,115,-3.53,261
2008,Utah St.,347,109,5.7,114.6,28,108.9,270,62.9,264,0.038,82,-3.25,224,101.8,232,105.0,210,-3.06,245
2008,N.C. State,196,110,5.65,107.6,110,101.9,134,62.7,272,0.043,71,9.18,24,108.6,19,99.4,30,-1.93,205
2008,South Florida,284,111,5.41,107.4,114,102.0,136,63.4,243,-0.098,336,6.71,58,106.7,68,100.0,53,-0.93,174
2008,Portland St.,243,112,5.4,108.6,87,103.2,161,66.3,126,0.062,41,-3.5,232,102.7,202,106.2,271,3.95,60
2008,Illinois Chicago,126,113,5.34,104.8,149,99.5,85,65.7,148,-0.015,207,2.2,119,104.0,149,101.8,96,4.11,53
2008,DePaul,69,114,5.28,111.8,49,106.6,224,65.7,147,-0.031,251,9.36,20,108.6,20,99.3,23,1.3,115
2008,LSU,144,115,5.2,104.9,148,99.7,89,65.6,152,-0.08,328,6.41,61,106.9,65,100.4,60,-1.03,176
2008,Wright St.,377,116,5.04,104.0,169,98.9,82,59.7,326,0.064,38,0.47,147,104.4,122,103.9,167,0.07,144
2008,UC Santa Barbara,329,117,4.93,102.3,186,97.3,64,65.2,162,0.062,40,-3.76,235,102.4,209,106.1,266,-3.52,260
2008,Old Dominion,232,118,4.9,106.5,127,101.6,128,63.0,258,-0.034,256,0.83,144,102.8,197,102.0,106,5.29,41
2008,Valparaiso,352,119,4.7,107.9,103,103.2,162,65.7,149,0.049,56,2.15,121,104.3,132,102.1,112,0.35,135
2008,San Diego,270,120,4.64,101.6,198,97.0,59,63.0,260,0.045,65,1.43,131,104.3,125,102.9,144,2.61,80
2008,Northern Iowa,222,121,4.62,105.9,134,101.3,121,59.2,329,0.041,74,3.86,95,104.9,112,101.0,77,-3.31,252
2008,Rider,256,122,4.62,108.2,94,103.6,169,68.7,48,0.01,148,-3.33,226,101.7,235,105.1,211,-3.96,271
2008,Cornell,64,123,4.41,110.1,69,105.7,206,67.9,80,0.086,15,-6.93,298,99.1,314,106.0,257,-3.59,264
2008,Iowa St.,133,124,4.38,101.7,196,97.4,66,64.1,212,-0.015,206,8.14,40,107.5,47,99.3,29,-4.74,282
2008,Colorado,59,125,4.29,104.7,155,100.4,100,60.9,313,-0.066,315,8.94,30,107.5,46,98.6,11,-2.23,218
2008,Boise St.,26,126,3.89,108.7,84,104.8,191,70.7,19,0.085,17,-2.64,212,103.3,177,105.9,252,-3.36,256
2008,UMBC,332,127,3.86,113.2,39,109.3,282,63.7,230,0.057,46,-4.31,241,100.7,274,105.0,207,2.68,79
2008,Georgia Southern,105,128,3.82,106.0,133,102.2,140,69.0,43,0.019,123,-0.34,160,104.1,145,104.4,187,3.83,61
2008,Belmont,23,129,3.53,109.7,71,106.2,216,68.6,53,0.075,25,-5.21,262,100.9,265,106.1,268,0.51,133
2008,Penn St.,239,130,3.48,107.7,107,104.2,182,63.5,242,0.03,97,6.66,59,106.2,83,99.6,34,-4.8,283
2008,Cal St. Northridge,40,131,3.43,102.2,189,98.7,78,72.2,10,0.023,115,-3.53,233,102.5,205,106.0,259,-1.94,207
2008,Indiana St.,130,132,3.2,105.9,136,102.7,150,64.3,201,0.041,75,6.27,65,106.9,66,100.6,62,2.21,93
2008,North Texas,217,133,3.11,105.9,135,102.8,153,68.0,77,-0.024,228,-3.74,234,102.8,195,106.6,284,-1.79,200
2008,Brown,31,134,3.07,108.9,82,105.8,207,61.1,309,0.042,73,-4.49,245,102.1,218,106.6,283,0.79,125
2008,Niagara,207,135,2.92,106.7,125,103.7,172,69.9,29,0.025,112,-2.32,201,102.8,199,105.1,216,0.21,140
2008,North Dakota St.,215,136,2.88,107.0,120,104.1,181,67.0,106,-0.065,314,-2.23,198,103.5,168,105.8,243,1.44,110
2008,Michigan,179,137,2.7,104.4,162,101.7,129,64.1,210,-0.037,264,9.46,17,107.9,39,98.5,9,4.56,49
2008,Sam Houston St.,268,138,2.7,96.5,274,93.8,26,67.6,87,0.022,116,-5.37,266,99.5,303,104.9,201,-2.6,231
2008,Marshall,167,139,2.56,106.2,130,103.6,171,62.9,265,-0.007,190,1.62,126,103.6,161,102.0,107,-1.85,202
2008,St. John's,296,140,2.44,98.6,243,96.2,46,63.9,224,-0.011,199,8.27,38,108.1,33,99.9,43,-1.57,192
2008,Appalachian St.,10,141,2.41,105.8,137,103.4,167,65.3,159,0.003,160,-0.75,170,103.6,162,104.4,185,1.15,118
2008,Oakland,227,142,2.39,111.7,52,109.3,281,67.1,100,-0.016,209,-0.33,159,104.6,118,104.9,205,6.76,29
2008,Pacific,237,143,2.36,107.1,117,104.7,190,63.7,231,0.046,63,-4.38,244,101.2,254,105.6,238,-3.77,268
2008,Robert Morris,257,144,2.27,103.3,175,101.1,119,69.0,44,0.076,24,-7.01,300,99.5,306,106.5,282,-3.12,248
2008,Green Bay,111,145,2.02,107.1,118,105.1,199,65.4,157,0.019,121,2.27,117,104.7,116,102.4,124,2.54,81
2008,Iowa,132,146,2.01,98.8,241,96.8,56,58.8,331,-0.023,222,4.88,89,106.3,82,101.4,87,-7.2,315
2008,La Salle,145,147,1.93,107.4,113,105.5,204,68.9,45,-0.004,178,3.33,103,105.6,97,102.3,120,-2.17,215
2008,Marist,165,148,1.92,106.3,128,104.4,187,63.3,250,0.018,126,-0.41,162,103.4,173,103.8,164,4.0,59
2008,Auburn,17,149,1.92,109.8,70,107.8,248,65.1,172,0.008,152,3.75,98,105.7,95,101.9,102,-8.97,327
2008,American,9,150,1.67,107.9,102,106.3,218,60.4,319,0.045,66,-4.23,240,99.9,295,104.1,173,-2.17,216
2008,Richmond,255,151,1.48,101.4,200,99.9,93,61.5,301,0.103,6,3.46,101,106.2,85,102.7,138,-2.06,211
2008,Northern Arizona,219,152,1.43,105.6,139,104.2,183,66.2,135,0.048,59,-4.7,248,101.6,238,106.3,275,-0.79,169
2008,Northeastern,218,153,1.42,103.2,179,101.7,131,61.4,302,-0.043,277,0.95,142,103.5,169,102.5,128,7.7,23
2008,Wichita St.,370,154,1.41,104.3,165,102.8,154,60.5,318,-0.07,321,3.82,96,105.8,93,102.0,104,-2.09,213
2008,Santa Clara,274,155,1.34,100.9,208,99.6,86,59.7,325,-0.065,312,-0.53,164,103.3,175,103.9,166,0.59,129
2008,Air Force,2,156,1.18,100.9,210,99.7,90,56.3,338,-0.007,191,0.17,150,102.8,198,102.6,135,-10.09,334
2008,Saint Louis,265,157,0.95,100.9,206,100.0,95,58.4,333,0.067,32,4.19,92,106.4,80,102.2,117,-1.53,190
2008,Chattanooga,51,158,0.89,102.4,184,101.5,127,72.0,11,0.049,57,0.07,154,104.3,135,104.2,178,5.82,34
2008,Fordham,97,159,0.69,103.2,178,102.5,147,61.8,294,-0.029,246,5.01,87,106.6,73,101.6,94,-1.06,177
2008,Lamar,147,160,0.56,108.1,96,107.6,246,69.9,30,-0.003,175,-4.57,246,99.1,313,103.7,161,1.45,109
2008,UC Irvine,326,161,0.48,104.2,167,103.8,173,62.8,270,-0.028,243,-2.21,197,102.3,210,104.5,191,0.57,130
2008,UNC Wilmington,337,162,0.35,108.2,93,107.9,249,66.5,121,0.06,42,-2.79,214,101.4,248,104.2,176,-5.62,298
2008,Loyola MD,161,163,0.08,108.1,99,108.0,253,64.7,185,0.052,52,-3.03,221,101.9,226,104.9,202,-3.35,254
2008,Tulane,322,164,-0.13,102.1,190,102.2,141,63.5,240,0.074,28,1.68,125,104.3,130,102.6,134,-1.87,203
2008,Middle Tennessee,181,165,-0.16,104.9,145,105.1,200,62.1,288,0.065,37,-0.54,165,104.6,119,105.1,215,3.67,66
2008,College of Charleston,48,166,-0.21,106.7,124,106.9,232,65.8,143,-0.024,231,-1.06,177,103.9,153,104.9,206,3.37,71
2008,Milwaukee,182,167,-0.26,100.7,214,100.9,114,67.0,104,0.035,91,2.19,120,104.3,123,102.2,113,4.1,55
2008,Austin Peay,18,168,-0.3,104.6,159,104.9,195,65.5,155,0.086,16,-6.35,291,102.5,204,108.8,333,5.19,42
2008,Morgan St.,193,169,-1.01,100.0,222,101.0,118,64.7,188,0.015,131,-9.48,325,98.3,320,107.7,317,1.01,119
2008,Holy Cross,118,170,-1.03,101.3,204,102.3,143,59.6,327,-0.014,202,-2.88,216,101.5,244,104.4,188,-0.82,170
2008,George Washington,102,171,-1.1,100.9,207,102.0,138,63.4,246,-0.057,299,5.51,79,107.4,55,101.9,100,-0.23,155
2008,UNC Asheville,335,172,-1.21,107.2,115,108.4,259,64.4,198,0.1,7,-5.78,275,101.1,262,106.9,294,-1.34,182
2008,Mount St. Mary's,194,173,-1.32,99.3,233,100.6,106,66.1,138,0.014,135,-5.35,265,101.6,241,106.9,295,-0.05,148
2008,East Tennessee St.,79,174,-1.38,103.9,170,105.3,202,71.3,14,0.066,34,-3.07,223,102.0,220,105.1,212,3.82,62
2008,Vermont,354,175,-1.73,101.0,205,102.7,151,68.8,47,-0.055,297,-5.82,276,101.4,249,107.2,307,-3.43,258
2008,Albany,7,176,-1.82,103.1,181,104.9,196,63.4,245,-0.063,310,-5.85,279,100.2,287,106.1,261,-2.33,221
2008,TCU,304,177,-1.87,100.7,213,102.5,148,66.7,113,-0.018,214,0.09,152,101.9,223,101.8,99,-13.31,341
2008,Central Michigan,47,178,-2.06,103.1,180,105.2,201,67.9,79,0.082,20,2.54,113,104.3,128,101.8,95,7.64,25
2008,New Orleans,206,179,-2.07,104.7,158,106.7,228,68.2,73,0.048,61,-3.36,227,101.8,229,105.2,220,-5.63,299
2008,UT Arlington,342,180,-2.31,101.3,202,103.6,170,68.6,57,0.045,64,-4.81,253,99.5,304,104.3,182,-5.9,301
2008,Buffalo,34,181,-2.46,100.6,216,103.1,159,71.2,15,-0.104,337,0.96,141,103.7,157,102.8,141,-2.09,212
2008,Eastern Michigan,83,182,-2.48,104.7,154,107.2,242,62.4,281,-0.0,169,-1.21,182,103.1,183,104.3,181,-1.79,199
2008,Rutgers,258,183,-2.52,96.2,278,98.8,80,64.6,190,0.022,117,5.88,71,106.7,71,100.8,70,-8.11,320
2008,Elon,85,184,-2.63,98.0,250,100.6,105,61.8,292,0.001,164,0.21,149,104.3,124,104.1,172,4.35,51
2008,Lafayette,146,185,-2.64,106.5,126,109.2,278,68.6,56,-0.036,262,-4.88,255,99.2,311,104.1,170,-4.96,288
2008,Weber St.,363,186,-2.72,99.6,231,102.4,144,63.9,220,0.012,139,-5.06,260,102.0,221,107.0,301,0.04,147
2008,High Point,116,187,-2.76,103.3,176,106.0,212,61.9,290,-0.077,324,-6.36,292,100.5,281,106.8,293,-2.78,241
2008,Gardner Webb,100,188,-2.97,103.6,174,106.6,225,70.1,23,-0.037,265,-5.49,268,100.4,282,105.9,251,1.9,99
2008,William & Mary,371,189,-2.99,100.3,219,103.3,165,61.4,303,0.053,51,-1.04,176,102.2,213,103.2,151,-2.13,214
2008,Fresno St.,98,190,-3.02,98.8,242,101.8,132,66.6,115,-0.096,335,-2.72,213,103.1,185,105.8,246,-2.46,224
2008,Northwestern,224,191,-3.2,105.3,142,108.5,261,61.0,311,-0.059,302,8.25,39,107.4,52,99.1,21,-3.39,257
2008,Colgate,58,192,-3.2,98.1,249,101.3,124,63.9,219,0.038,83,-5.71,274,100.2,286,105.9,255,-6.27,305
2008,Arkansas Little Rock,153,193,-3.28,95.0,295,98.3,72,64.7,186,0.092,10,-5.46,267,101.0,263,106.5,281,-9.11,328
2008,Wyoming,378,194,-3.32,100.8,211,104.1,180,68.6,52,-0.018,215,2.35,115,104.3,129,102.0,105,-2.74,238
2008,Louisiana Lafayette,156,195,-3.42,97.6,260,101.0,116,63.5,238,0.035,89,-2.34,202,103.4,170,105.8,245,2.16,96
2008,Montana,190,196,-3.52,106.9,121,110.4,300,62.2,285,-0.08,327,-3.97,237,101.9,227,105.8,249,2.41,85
2008,Lipscomb,152,197,-3.59,101.3,203,104.9,197,66.2,132,-0.077,323,-6.32,290,99.8,298,106.1,263,-2.59,229
2008,IPFW,249,198,-3.85,100.5,218,104.4,186,65.6,151,-0.006,187,1.56,128,105.0,109,103.5,158,13.11,3
2008,Loyola Chicago,160,199,-3.88,100.1,220,104.0,178,60.3,322,0.037,86,2.28,116,104.3,127,102.0,109,1.49,108
2008,Navy,198,200,-3.92,101.5,199,105.4,203,73.3,6,-0.069,317,-8.48,318,97.3,327,105.7,242,-11.64,339
2008,Central Connecticut,46,201,-3.96,104.3,163,108.3,257,62.5,278,-0.07,319,-6.62,294,100.5,280,107.1,305,-3.13,250
2008,Murray St.,195,202,-3.97,104.3,164,108.3,256,63.8,227,-0.023,226,-8.8,321,100.8,271,109.6,340,4.03,57
